OID,SYSTEM,MONTHDAY_INSTALL,YEAR_INSTALLED,LIFECYCLESTATUS,OWNER,SUBTYPE,HYDRAULICID,FACILITYID,VEGETATION,SHAPE_AREA,SHAPE_LEN
-1,GSWI,3_5,2013,ACT,PWD,2,,{1F0CA92A-93A9-4719-B72D-9EB5056AF140},,7025.415174282350600,966.919780645776090
-1,GSWI,9_20,2013,ACT,PWD,2,,{E7110BB9-BD93-4386-8F71-64B691D011C4},,283.358471918164010,140.677963387207000
-1,GSWI,9_8,2013,ACT,PWD,9,,{CB5BC3FF-612A-4DD2-B72A-B3CA95D7BA46},,5185.646828033700300,870.745808988091990
-1,GSWI,7_30,2012,ACT,PRIVVOL,9,,{A7097A08-E28F-4B84-916A-9F9A1A421D0C},,158.210853117502010,93.713902029423096
-1,GSWI,7_30,2012,ACT,PRIVVOL,9,,{AB7B643C-647A-4DDE-BBD1-5DBE57A5403B},,488.572318645220040,262.460383452205010
-1,GSWI,7_30,2012,ACT,PRIVVOL,9,,{C6834362-E40F-4334-ADF1-55B3046AF892},,763.002696133478030,343.736470904811990
-1,GSWI,7_30,2012,ACT,PRIVVOL,9,,{A97C304F-510F-4D12-AE07-2CA087B5637E},,145.547460867879010,82.132048154509491
-1,GSWI,7_30,2012,ACT,PRIVVOL,9,,{F43700E4-69BE-4215-9EF9-A6B16D3C7C07},,63.073966799130801,45.214678078285196
-1,GSWI,7_30,2012,ACT,PRIVVOL,9,,{1284272A-FE60-4DFF-A46C-A5C1D8E19BFA},,123.583909761283000,77.097400467771692
-1,GSWI,7_30,2012,ACT,PRIVVOL,9,,{5D870472-FC03-4FB0-8BFA-1CC279DEEDDB},,233.557119027555020,158.304945903701990
-1,GSWI,7_30,2012,ACT,PRIVVOL,9,,{C0CC2085-1007-462B-8E74-D670EBA6E1BE},,70.824236871843496,56.663110474007297
-1,GSWI,5_1,2006,ACT,PWD,9,,{0E228605-E396-4DD4-94D3-56E9E0A9DCE7},,744.795765456336990,271.116281098668990
