-75.04810022,40.02162547,6586,Hegerman St Magee Ave and Hellerman St (Dorsey Playground),Stormwater Tree Trench,-75.048098,40.021617
-75.05407288,40.02562866,6587,Hellerman St Cottage St and Levick St (Roosevelt Playground),Stormwater Planter,-75.054071,40.025621
-75.13173341,39.97874,6590,Hewson St from Blair St to Trenton Ave (Shissler Playground),Stormwater Tree Trench,-75.131732,39.978732
-75.1500382,39.93410423,6599,Jefferson Square Raingarden,Rain Garden,-75.150036,39.934096
-75.25076826,39.97551297,6603,Kenmore Rd Haddington St and Atwood Rd (Cassidy Elementary School),Stormwater Tree Trench,-75.250766,39.975505
-75.2215947,39.93963949,6613,Little Sisters of the Poor,Stormwater Tree Trench,-75.221593,39.939631
-75.14114487,39.9608135,6619,Madison Memorial Park,Infiltration/Storage Trench,-75.141143,39.960805
-75.05292912,40.02285677,6620,Magnolia Cemetary,Stormwater Tree Trench,-75.052927,40.022849
-75.23994639,39.92675491,6631,McCreesh Playground / Catharine Elementary School,Infiltration/Storage Trench,-75.239945,39.926747
-75.13210698,39.97687415,6640,Montgomery Ave Shissler Playground,Infiltration/Storage Trench,-75.132105,39.976866
-75.17441022,40.07057901,6643,Morris Leeds Middle School,Stormwater Tree Trench,-75.174408,40.070571
-75.16967486,39.98405798,6651,Norris St Van Pelt St and Berks St (Frederick Douglass Elementary School),Stormwater Tree Trench,-75.169673,39.98405
-75.19266208,39.9382277,6652,Oakford 30th (Donald Finnegan Playground),Stormwater Tree Trench,-75.19266,39.93822
-75.21730713,39.97140145,6653,Old Cathedral Cemetary,Stormwater Tree Trench,-75.217305,39.971393
-75.13290308,39.97562213,6657,Palmer St from Frankford Ave to Blair St (Shissler Playground),Stormwater Tree Trench,-75.132901,39.975614
-75.1657464,40.00201415,6658,Panati Playground,Rain Garden,-75.165745,40.002006
-75.152606,39.98341205,6660,Parking Lot - 12th St Marvine St and Diamond St,Stormwater Tree Trench,-75.152604,39.983404
-75.1351508,39.96253219,6665,Penn Street Trail,Rain Garden,-75.135149,39.962524
-75.15453283,39.98525997,6670,Philadelphia Military Academy,Stormwater Tree Trench,-75.154531,39.985252
-75.23558283,39.95470117,6672,Pine St Frazier St and 57th St (Andrew Hamilton School),Stormwater Planter,-75.235581,39.954693
-75.15004006,39.96786062,6675,Poplar St from 8th St to Franklin St,Stormwater Tree Trench,-75.150038,39.967853
-75.20479371,39.96666602,6676,Preston St 41st St Brown St and Aspen St (Belmont School),Stormwater Tree Trench,-75.204792,39.966658
-75.14308806,39.98099782,6680,Reese St,Stormwater Tree Trench,-75.143086,39.98099
-75.14455129,40.02730649,6683,Rockland St,Infiltration/Storage Trench,-75.14455,40.027298
-75.11925685,40.02012077,6684,Rosehill St (Barton School),Stormwater Tree Trench,-75.119255,40.020113
-75.12482289,39.98121586,6689,Sepviva,Other,-75.124821,39.981208
-75.12851448,39.97949865,6690,Sepviva St from Susquehanna Ave to Dauphin St,Infiltration/Storage Trench,-75.128513,39.979491
-75.21616007,39.96985745,6691,Sister Clara Muhammad School,Stormwater Tree Trench,-75.216158,39.969849
-75.17596355,39.93460528,6692,Smith Elementary School,Stormwater Tree Trench,-75.175962,39.934597
-75.15911552,39.92591831,6693,Southwark School,Stormwater Tree Trench,-75.159114,39.92591
-75.21973536,39.88402939,6694,Southwest Treatment Plant Parking Lot,Pervious Paving,-75.219734,39.884021
-75.23521968,39.93472118,6695,Springfield Ave and Cobbs Creek Island,Rain Garden,-75.235218,39.934713
-75.17416271,39.93039734,6696,St Thomas Aquinas School,Stormwater Tree Trench,-75.174161,39.930389
-75.23862694,39.92162901,6699,St. James Episcopal Church of Kingesessing,Stormwater Tree Trench,-75.238625,39.921621
-75.16479912,40.06000006,6701,Stenton Avenue and Washington Lane NE Intersection,Rain Garden,-75.164797,40.059992
-75.17637506,39.92524553,6704,Stephen Girard School,Stormwater Tree Trench,-75.176373,39.925237
-75.13100429,39.97232853,6710,Thompson St and Columbia Ave,Stormwater Tree Trench,-75.131003,39.97232
-75.13183886,39.97933836,6716,Trenton Ave and Norris St,Stormwater Tree Trench,-75.131837,39.97933
-75.15067194,40.03343214,6721,Wakefield Park,Rain Garden,-75.15067,40.033424
-75.15082934,39.97489121,6722,Wakisha Charter School,Stormwater Tree Trench,-75.150828,39.974883
-75.13966718,39.98677934,6731,Welsh School,Stormwater Tree Trench,-75.139665,39.986771
-75.1535183,39.97738532,6734,William Gray Youth Center,Stormwater Tree Trench,-75.153517,39.977377
-75.1584092,40.06092168,6740,Woolston Ave Walnut Ln Rodney St (Simons Recreation Center),Stormwater Tree Trench,-75.158407,40.060914
-75.14254851,39.98135444,6743,Vacant Land - 5th and Norris Streets,Other,-75.142547,39.981346
-75.13969379,39.98098813,6744,Vacant Land - 3rd and Norris Streets,Other,-75.139692,39.98098
-75.16312464,39.98890879,6745,Vacant Land - 2301 Gratz Street,Other,-75.163123,39.988901
-75.18619612,40.02947806,6746,Saylor Grove,Stormwater Wetland,-75.186194,40.02947
-75.14512868,39.98649426,6747,Vacant Land - 7th St and Germantown Ave,Other,-75.145127,39.986486
-75.21389825,40.06041185,6748,Springside School,Rain Garden,-75.213896,40.060404
-75.14254851,39.98135444,6749,Vacant Land - 5th and Norris Streets,Other,-75.142547,39.981346
-75.21516474,39.96419754,6750,Blackwell Homes,Infiltration/Storage Trench,-75.215163,39.964189
-75.13969379,39.98098813,6751,Vacant Land - 3rd and Norris Streets,Other,-75.139692,39.98098
-75.20349078,39.97517407,6752,School of the Future,Green Roof,-75.203489,39.975166
-75.16973778,40.03848608,6753,Armat St and Heiskell St,Stormwater Tree Trench,-75.169736,40.038478
-75.17245909,40.01567544,6754,Wissahickon Charter School,Rain Garden,-75.172457,40.015667
-75.06207175,40.08526909,6755,Pennypack Park,Stormwater Wetland,-75.06207,40.085261
-75.17773586,39.95199068,6756,Greenfield Elementary School,Rain Garden,-75.177734,39.951983
-75.09350875,40.00451308,6757,Frankford Ave - Pike to Hunting Park,Stormwater Tree Trench,-75.093507,40.004505
-75.16312464,39.98890879,6758,Vacant Land - 2301 Gratz Street,Other,-75.163123,39.988901
-75.20170984,39.96587785,6759,Union Hill,Stormwater Tree Trench,-75.201708,39.96587
-75.19198414,40.00718219,6760,East Falls Parking Lot,Rain Garden,-75.191982,40.007174
-75.18619612,40.02947806,6761,Saylor Grove,Stormwater Wetland,-75.186194,40.02947
-75.17084937,40.05230676,6762,Awbury Arboretum,Swale,-75.170848,40.052299
-75.20091317,40.05281514,6763,Allens Lane Art Center Basketball Court,Pervious Paving,-75.200911,40.052807
-75.08668875,40.04470409,6764,Oxford Levick Center,Stormwater Planter,-75.086687,40.044696
-75.16894994,39.94494629,6765,Independence Charter School,Rain Garden,-75.168948,39.944938
-75.14512868,39.98649426,6766,Vacant Land - 7th St and Germantown Ave,Other,-75.145127,39.986486
-75.15010653,39.96741941,6767,Police Forensic Center,Rain Garden,-75.150105,39.967411
-75.2082058,39.95317699,6768,Penn Alexander School,Rain Garden,-75.208204,39.953169
-75.07499962,40.01253856,6769,White Hall Commons/Carmella Playground/Gambrell Rec/WG Harding School,Stormwater Tree Trench,-75.074998,40.01253
